,pv_net_cf
347,3520.3316159046954
348,324.7379190322463
349,-252.9011380215046
350,-505.65146849732264
351,-332.07299367708964
352,3344.0659447566313
353,-55.70302614671692
354,1863.9141186300799
355,8232.589191022196
356,818.873410604177
357,-592.6250859813294
358,270.79060018060136
359,-112.84652593487675
360,529.8073302599659
361,-728.3222121727008
362,365.68576042634345
363,-222.00384949515876
364,-367.61945802866546
365,-442.44758031732965
366,3301.788007165527
367,2688.982311847135
368,-510.595550713874
369,141.76971646018114
370,4579.788832168037
371,-358.852004521596
372,-332.88147035374965
373,2562.2606175197125
374,3290.217099668632
375,-955.800575495691
376,-137.11205677541705
377,1160.6808127427898
378,-86.21942676902847
379,2344.4005845988977
380,879.3493456681954
381,2966.431283707061
382,422.8493687992793
383,1297.127629446059
384,628.9248231431103
385,3354.3075907125412
386,4061.423826300664
387,5550.083187618
388,-360.46057362305737
389,269.86196457243545
390,277.8455634289463
391,404.95982358385515
392,-345.5913955584588
393,-855.0958853908123
394,614.3903212921973
395,-540.9852547182029
396,-182.16008667982425
397,2007.0174381012769
398,1814.9662827952252
399,-252.126220820517
400,-209.0853782846898
401,1136.5315868017437
402,4929.506527715545
403,-197.73007685987562
404,-37.390845136782104
405,415.8086511602737
406,4067.9735127125487
407,-707.0799605561657
408,3816.2204364148297
409,8182.398612255182
410,3644.4750014128767
411,-930.1189523982442
412,-135.20219018666523
413,296.7906012046119
414,358.20246964192575
415,769.0170372141401
416,399.87779131733214
417,-398.2483582354088
418,289.0204121627726
419,3241.4052984308
420,-54.75447803234772
421,-87.08717005793005
422,933.1246230103952
423,-342.6713391215335
424,1458.6288805201789
425,-918.5178600484885
426,8232.589191022196
427,-492.5291187210346
428,672.5295411454783
429,643.9024131682277
430,790.026200371158
431,-736.1924358139238
432,-81.2340333488707
433,86.19481175843083
434,3720.358535352088
435,-582.3022388881858
436,1158.1762529914859
437,1770.0916096874541
438,407.4303858912267
439,-420.4831163608809
440,619.5344361925366
441,50.44502299900023
442,782.664249000318
443,1056.6892774895261
444,3212.9333525359193
445,2010.631507635684
446,-134.6337020193729
447,1741.0731893374923
448,2858.3642421413965
449,2771.97150226471
450,-296.4202051873767
451,7822.4781901103925
452,-303.39821238795264
453,1861.7088324057981
454,997.0291629037556
455,260.3919746426053
456,-561.3374615370178
457,228.34007205476797
458,-328.6627596019315
459,63.27751195647102
460,269.20720813603646
461,3082.476412581558
462,4687.60123336412
463,370.3057364511387
464,-643.5603946310385
465,5748.5705892940305
466,-19.576010408516993
467,-812.5694104747529
468,-406.2268869785919
469,361.57766166909244
470,-477.0024868596439
471,3061.3949864732344
472,1311.819563318129
473,270.20793677929436
474,-427.244112670208
475,90.44596912721295
476,2725.3670289754277
477,4054.157891376967
478,1775.353243531548
479,390.0348395054456
480,78.8426146626706
481,2375.2203508561656
482,-824.3032525812904
483,1308.4039395851016
484,67.48181454271526
485,2216.78075887424
486,-327.54259976765144
487,2256.4527916815355
488,9498.664052964494
489,3957.014745548805
490,7910.007823881295
491,-264.0634676112322
492,387.2459423066499
493,1379.4002682418688
494,168.6747596814821
495,7841.449523327173
496,1635.4682361906464
497,-606.919671974331
498,-809.909915135755
499,889.4747406261349
500,1659.6502731714743
501,386.0271063755532
502,-487.61260138319363
503,-95.94486581959484
504,-307.6884958134604
505,3.093365399019092
506,-190.82084096733382
507,-332.0874318465149
508,-358.5051226294131
509,-301.84085641092383
510,-852.2536264628089
511,-258.04258593915955
512,-717.5719544751595
513,961.2170241491265
514,1216.3699054760484
515,3458.00730993064
516,701.7591638586308
517,5294.287309659533
518,-267.57219648907244
519,535.675199814694
520,6588.704003635142
521,-692.4044675536117
522,4648.614887197464
523,1668.56734548502
524,-635.6402980686141
525,-874.2460095227023
526,-816.9880170778855
527,-365.2231765582487
528,-727.5666280414853
529,1622.6849061311457
530,-643.3857777558283
531,2706.6650041934217
532,1570.7615846183514
533,8327.02690231664
534,533.5600533171629
535,-776.7752989580697
536,1858.7083938936532
537,-272.0533673493247
538,14177.779102753935
539,12356.785724769037
540,16542.586788724428
541,-695.0360226472881
542,-341.0458686643566
543,1144.8020348425127
544,-823.5155107064834
545,-122.71803131042998
546,1460.1410599362832
